,IsVIP_500,payment_7_day,dau_days,days_between_install_first_pay,total_txns_7_day,total_page_views,total_product_liked,product_like_rate,total_free_coupon_got,total_bonus_xp_points
0,0,15.98,6,8,3,266,95,0.357142857143,9,1275000
1,0,8.48,7,372,3,484,118,0.243801652893,15,1346100
2,0,3.49,7,439,2,504,151,0.299603174603,10,863400
3,0,3.99,7,570,2,513,165,0.321637426901,13,2050200
4,0,38.0,3,1741,4,31,6,0.193548387097,7,3133500
5,0,5.99,3,832,2,40,-5,-0.125,1,30000
6,0,16.24,6,1765,5,535,138,0.257943925234,7,424500
7,0,4.99,4,233,3,9,-17,-1.88888888889,4,313500
8,0,9.99,5,20,3,297,115,0.387205387205,7,636000
9,0,4.99,3,44,2,53,-2,-0.0377358490566,3,741000
10,0,7.98,6,1932,4,215,34,0.158139534884,5,711900
11,0,12.99,5,24,2,461,114,0.247288503254,6,694200
12,0,18.98,7,1233,3,103,15,0.145631067961,10,821100
13,0,10.99,1,76,2,104,14,0.134615384615,2,175500
14,0,15.99,7,17,3,2790,860,0.308243727599,15,2174100
15,0,9.99,3,30,3,3,-8,-2.66666666667,3,465000
16,0,8.99,4,133,3,36,-7,-0.194444444444,4,243300
17,0,9.99,4,1,2,168,46,0.27380952381,4,330000
18,0,27.97,3,41,5,257,84,0.326848249027,4,303000
19,0,32.0,7,269,2,625,128,0.2048,5,246000
20,0,8.98,7,64,4,62,-4,-0.0645161290323,12,1027500
21,0,5.99,2,282,3,130,18,0.138461538462,3,1194000
22,0,3.99,1,315,2,-9,-16,1.77777777778,1,136500
23,0,3.98,7,1254,3,874,189,0.216247139588,2,342000
24,0,1.99,7,19,2,829,210,0.253317249698,10,801000
25,0,7.99,7,18,2,750,168,0.224,13,855600
26,0,5.49,5,25,3,56,7,0.125,4,654000
27,0,13.95,7,1954,7,561,118,0.210338680927,18,1904700
28,0,112.96,1,15,6,111,20,0.18018018018,1,300000
29,0,3.99,1,91,3,-5,-13,2.6,1,36000
30,0,31.75,7,1653,3,1475,232,0.157288135593,46,6476700
31,0,8.99,4,1721,3,40,-6,-0.15,4,411000
32,0,9.99,6,1287,2,70,11,0.157142857143,9,1113000
33,0,5.99,4,48,2,668,166,0.248502994012,2,241200
34,0,8.99,1,21,2,-5,-11,2.2,1,21600
35,0,22.95,7,1273,6,1322,354,0.267776096823,12,1792800
36,0,33.97,7,130,5,400,97,0.2425,6,553500
37,0,7.99,6,31,2,459,175,0.381263616558,4,315000
38,0,42.98,4,15,4,200,14,0.07,5,847500
39,0,16.99,2,12,2,16,-7,-0.4375,1,81000
40,0,34.98,3,25,3,192,54,0.28125,5,492000
41,0,9.0,7,2555,2,765,230,0.300653594771,8,424500
42,0,9.99,6,75,3,387,80,0.206718346253,9,709200
43,0,4.99,7,43,3,2508,524,0.208931419458,18,1746900
44,0,78.0,7,466,4,866,224,0.258660508083,27,2572800
45,0,9.0,2,2215,3,520,181,0.348076923077,1,450000
46,0,4.0,1,83,2,274,100,0.36496350365,1,120000
47,0,2.99,5,1554,3,245,59,0.240816326531,7,849600
48,0,17.0,6,998,2,1049,293,0.279313632031,4,165000
49,0,2.99,6,19,2,197,45,0.228426395939,12,777900
50,0,11.99,6,2,2,551,123,0.223230490018,5,286500
51,0,10.99,2,67,2,8,-4,-0.5,5,750000
52,0,14.45,7,6,6,692,181,0.261560693642,13,1296300
53,0,1.99,6,26,2,16,-13,-0.8125,8,2441700
54,0,4.99,3,20,2,70,0,0.0,4,508500
55,0,7.0,7,512,4,1638,457,0.278998778999,12,1356600
56,0,9.99,7,508,2,205,51,0.248780487805,9,903600
57,0,9.99,1,457,2,-2,-8,4.0,1,12000
58,0,8.97,6,1614,5,191,62,0.324607329843,16,1395000
59,0,4.98,7,23,3,942,355,0.376857749469,24,2868300
60,0,9.52,7,1328,2,1052,304,0.28897338403,17,2515500
61,0,28.99,7,195,3,452,120,0.265486725664,7,886500
62,0,34.0,7,1071,3,995,299,0.300502512563,8,681000
63,0,2.99,7,22,3,1957,603,0.308124680634,15,1660800
64,0,24.97,3,9,4,55,9,0.163636363636,2,64800
65,0,16.98,2,11,4,264,77,0.291666666667,1,240000
66,0,5.96,6,17,6,361,113,0.313019390582,6,606000
67,0,26.99,7,19,2,21,-8,-0.380952380952,12,1503000
68,0,12.99,6,21,2,259,71,0.274131274131,7,1083600
69,0,5.98,3,2039,4,58,-7,-0.120689655172,6,334800
70,0,83.0,5,49,3,89,13,0.14606741573,7,348000
71,0,7.12,6,2567,2,33,-2,-0.0606060606061,6,278400
72,0,154.97,2,2264,5,1,-7,-7.0,0,0
73,0,31.75,1,1305,2,9,-14,-1.55555555556,0,0
74,0,1.99,3,14,3,139,25,0.179856115108,0,0
75,0,9.98,7,998,4,318,84,0.264150943396,14,1683300
76,0,2.99,6,72,3,150,17,0.113333333333,0,0
77,0,22.98,7,341,4,24,-8,-0.333333333333,12,1098300
78,0,16.98,7,2343,4,1208,341,0.282284768212,14,1110300
79,0,11.99,3,19,3,112,17,0.151785714286,2,127500
80,0,7.99,2,672,3,159,15,0.0943396226415,2,126000
